reward/mean,reward/ticket_issuance,breakdown/tool_sequence,breakdown/tool_fidelity,breakdown/tool_economy,breakdown/format,breakdown/ticket_schema_validity,breakdown/language_consistency,timestamp,step,train/loss,train/grad_norm,train/learning_rate,train/num_tokens,train/completions/mean_length,train/completions/min_length,train/completions/max_length,train/completions/clipped_ratio,train/completions/mean_terminated_length,train/completions/min_terminated_length,train/completions/max_terminated_length,train/rewards/reward_fn/mean,train/rewards/reward_fn/std,train/reward,train/reward_std,train/frac_reward_zero_std,train/entropy,train/clip_ratio/low_mean,train/clip_ratio/low_min,train/clip_ratio/high_mean,train/clip_ratio/high_max,train/clip_ratio/region_mean,train/step_time,train/epoch,gpu/0/allocated_memory,gpu/0/memory_usage,train/global_step
0.5750000000000001,0.5750000000000001,0.049999999999999996,0.1625,0.09999999999999999,0.09999999999999999,0.1125,0.049999999999999996,2026-04-26T09:06:11.515570+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2026-04-26T09:06:43.494412+00:00,1,-0.0111,0.181640625,5e-06,14413.0,309.625,176.0,352.0,1.0,0.0,0.0,0.0,0.574999988079071,0.11338932812213898,0.574999988079071,0.11338933557271957,0.75,0.09985903091728687,0.0,0.0,0.0,0.0,0.0,723.3674658460004,0.5,18.328036785125732,0.23126931542411286,1.0
0.5375,0.5375,0.04375,0.15,0.09999999999999999,0.09999999999999999,0.09375,0.049999999999999996,2026-04-26T09:18:42.821816+00:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2026-04-26T09:19:15.255118+00:00,2,-0.0385,0.380859375,4.5e-06,28954.0,325.625,258.0,356.0,1.0,0.0,0.0,0.0,0.5375000238418579,0.13296078145503998,0.5375000238418579,0.13296078145503998,0.25,0.13284099008888006,0.0,0.0,0.0,0.0,0.0,750.6314563990018,1.0,18.328038215637207,0.23126933347478643,2.0
